atm_name,transaction_date,No_Of_Withdrawals,total_amount_withdrawn,weekday_monday,weekday_saturday,weekday_sunday,weekday_thursday,weekday_tuesday,weekday_wednesday,working_day_W,day_type_Day of Ashura,day_type_Diwali,day_type_Easter Sunday,day_type_Eid al-Adha,day_type_Eid ul-Fitr,day_type_Feast of Pentecost,day_type_Gandhi Jayanti,day_type_Good Friday,day_type_Holi,day_type_Independence Day,day_type_Labour Day,day_type_Makar Sankranti / Pongal,day_type_Mawlid,day_type_Normal Day,day_type_Palm Sunday,day_type_Republic Day,moving_avg_7d,prev_day_withdrawals,prev_day_amount,lag_1,lag_7
Big Street ATM,2011-03-13,41,134700,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,358985.71428571426,67.0,262300.0,262300.0,514400.0
Mount Road ATM,2011-03-13,157,301800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,357400.0,41.0,134700.0,134700.0,312900.0
Airport ATM,2011-03-13,93,355700,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,396442.85714285716,157.0,301800.0,301800.0,82400.0
KK Nagar ATM,2011-03-13,113,282000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,364885.71428571426,93.0,355700.0,355700.0,502900.0
Christ College ATM,2011-03-13,52,153200,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,296200.0,113.0,282000.0,282000.0,634000.0
Big Street ATM,2011-03-14,25,76100,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,223685.7142857143,52.0,153200.0,153200.0,583700.0
Mount Road ATM,2011-03-14,160,566800,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,267185.71428571426,25.0,76100.0,76100.0,262300.0
Airport ATM,2011-03-14,100,474700,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,315757.14285714284,160.0,566800.0,566800.0,134700.0
KK Nagar ATM,2011-03-14,212,804300,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,387542.85714285716,100.0,474700.0,474700.0,301800.0
Christ College ATM,2011-03-14,77,283200,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,377185.71428571426,212.0,804300.0,804300.0,355700.0
Big Street ATM,2011-03-15,33,111200,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,352785.71428571426,77.0,283200.0,283200.0,282000.0
Mount Road ATM,2011-03-15,145,513000,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,404185.71428571426,33.0,111200.0,111200.0,153200.0
Airport ATM,2011-03-15,94,514500,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,466814.28571428574,145.0,513000.0,513000.0,76100.0
KK Nagar ATM,2011-03-15,185,758300,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,494171.4285714286,94.0,514500.0,514500.0,566800.0
Christ College ATM,2011-03-15,61,183900,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,452628.5714285714,185.0,758300.0,758300.0,474700.0
Big Street ATM,2011-03-16,38,131200,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,356471.4285714286,61.0,183900.0,183900.0,804300.0
Mount Road ATM,2011-03-16,152,525600,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,391100.0,38.0,131200.0,131200.0,283200.0
Airport ATM,2011-03-16,95,437300,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,437685.71428571426,152.0,525600.0,525600.0,111200.0
KK Nagar ATM,2011-03-16,203,835800,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,483800.0,95.0,437300.0,437300.0,513000.0
Christ College ATM,2011-03-16,61,220200,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,441757.14285714284,203.0,835800.0,835800.0,514500.0
Big Street ATM,2011-03-17,23,76300,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,344328.5714285714,61.0,220200.0,220200.0,758300.0
Mount Road ATM,2011-03-17,124,395500,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,374557.14285714284,23.0,76300.0,76300.0,183900.0
Airport ATM,2011-03-17,92,380600,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,410185.71428571426,124.0,395500.0,395500.0,131200.0
KK Nagar ATM,2011-03-17,171,579700,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,417914.28571428574,92.0,380600.0,380600.0,525600.0
Christ College ATM,2011-03-17,55,238800,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,389557.14285714284,171.0,579700.0,579700.0,437300.0
Big Street ATM,2011-03-18,27,97400,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,284071.4285714286,55.0,238800.0,238800.0,835800.0
Mount Road ATM,2011-03-18,183,533600,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,328842.85714285716,27.0,97400.0,97400.0,220200.0
Airport ATM,2011-03-18,83,362900,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,369785.71428571426,183.0,533600.0,533600.0,76300.0
KK Nagar ATM,2011-03-18,170,670000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,409000.0,83.0,362900.0,362900.0,395500.0
Christ College ATM,2011-03-18,74,290000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,396057.14285714284,170.0,670000.0,670000.0,380600.0
Big Street ATM,2011-03-19,32,94300,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,326714.28571428574,74.0,290000.0,290000.0,579700.0
Mount Road ATM,2011-03-19,214,544000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,370314.28571428574,32.0,94300.0,94300.0,238800.0
Airport ATM,2011-03-19,96,355400,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,407171.4285714286,214.0,544000.0,544000.0,97400.0
KK Nagar ATM,2011-03-19,187,567600,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,412028.5714285714,96.0,355400.0,355400.0,533600.0
Christ College ATM,2011-03-19,92,345600,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,409557.14285714284,187.0,567600.0,567600.0,362900.0
Big Street ATM,2011-03-20,6,9200,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,315157.14285714284,92.0,345600.0,345600.0,670000.0
Mount Road ATM,2011-03-20,142,395200,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,330185.71428571426,6.0,9200.0,9200.0,290000.0
Airport ATM,2011-03-20,92,300300,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,359614.28571428574,142.0,395200.0,395200.0,94300.0
KK Nagar ATM,2011-03-20,111,278000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,321614.28571428574,92.0,300300.0,300300.0,544000.0
Christ College ATM,2011-03-20,48,164400,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,294328.5714285714,111.0,278000.0,278000.0,355400.0
Big Street ATM,2011-03-21,27,99400,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,227442.85714285713,48.0,164400.0,164400.0,567600.0
Mount Road ATM,2011-03-21,138,336000,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,226071.42857142858,27.0,99400.0,99400.0,345600.0
Airport ATM,2011-03-21,110,517800,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,298728.5714285714,138.0,336000.0,336000.0,9200.0
KK Nagar ATM,2011-03-21,219,725500,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,345914.28571428574,110.0,517800.0,517800.0,395200.0
Christ College ATM,2011-03-21,60,287700,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,344114.28571428574,219.0,725500.0,725500.0,300300.0
Big Street ATM,2011-03-22,27,47600,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,311200.0,60.0,287700.0,287700.0,278000.0
Mount Road ATM,2011-03-22,145,288500,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,328928.5714285714,27.0,47600.0,47600.0,164400.0
Airport ATM,2011-03-22,76,259400,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,351785.71428571426,145.0,288500.0,288500.0,99400.0
KK Nagar ATM,2011-03-22,205,747100,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,410514.28571428574,76.0,259400.0,259400.0,336000.0
Christ College ATM,2011-03-22,69,250200,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,372285.71428571426,205.0,747100.0,747100.0,517800.0
Big Street ATM,2011-03-23,15,52800,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,276185.71428571426,69.0,250200.0,250200.0,725500.0
Mount Road ATM,2011-03-23,154,465300,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,301557.14285714284,15.0,52800.0,52800.0,287700.0
Airport ATM,2011-03-23,93,480300,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,363371.4285714286,154.0,465300.0,465300.0,47600.0
KK Nagar ATM,2011-03-23,210,798500,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,436228.5714285714,93.0,480300.0,480300.0,288500.0
Christ College ATM,2011-03-23,55,237200,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,433057.14285714284,210.0,798500.0,798500.0,259400.0
Big Street ATM,2011-03-24,16,34000,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,331185.71428571426,55.0,237200.0,237200.0,747100.0
Mount Road ATM,2011-03-24,112,365900,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,347714.28571428574,16.0,34000.0,34000.0,250200.0
Airport ATM,2011-03-24,75,370400,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,393085.71428571426,112.0,365900.0,365900.0,52800.0
KK Nagar ATM,2011-03-24,161,561300,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,406800.0,75.0,370400.0,370400.0,465300.0
Christ College ATM,2011-03-24,61,304000,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,381614.28571428574,161.0,561300.0,561300.0,480300.0
Big Street ATM,2011-03-25,26,37900,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,272957.14285714284,61.0,304000.0,304000.0,798500.0
Mount Road ATM,2011-03-25,137,390200,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,294814.28571428574,26.0,37900.0,37900.0,237200.0
Airport ATM,2011-03-25,56,231700,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,323057.14285714284,137.0,390200.0,390200.0,34000.0
KK Nagar ATM,2011-03-25,176,592900,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,355485.71428571426,56.0,231700.0,231700.0,365900.0
Christ College ATM,2011-03-25,52,206500,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,332071.4285714286,176.0,592900.0,592900.0,370400.0
Big Street ATM,2011-03-26,17,41300,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,257785.7142857143,52.0,206500.0,206500.0,561300.0
Mount Road ATM,2011-03-26,120,320500,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,260142.85714285713,17.0,41300.0,41300.0,304000.0
Airport ATM,2011-03-26,94,448900,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,318857.14285714284,120.0,320500.0,320500.0,37900.0
KK Nagar ATM,2011-03-26,205,812800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,379228.5714285714,94.0,448900.0,448900.0,390200.0
Christ College ATM,2011-03-26,62,215100,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,376857.14285714284,205.0,812800.0,812800.0,231700.0
Big Street ATM,2011-03-27,41,88800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,304842.85714285716,62.0,215100.0,215100.0,592900.0
Mount Road ATM,2011-03-27,108,332700,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,322871.4285714286,41.0,88800.0,88800.0,206500.0
Airport ATM,2011-03-27,98,360300,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,368442.85714285716,108.0,332700.0,332700.0,41300.0
KK Nagar ATM,2011-03-27,117,333100,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,370242.85714285716,98.0,360300.0,360300.0,320500.0
Christ College ATM,2011-03-27,58,286200,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,347000.0,117.0,333100.0,333100.0,448900.0
Big Street ATM,2011-03-28,32,144200,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,251485.7142857143,58.0,286200.0,286200.0,812800.0
Mount Road ATM,2011-03-28,128,410200,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,279357.14285714284,32.0,144200.0,144200.0,215100.0
Airport ATM,2011-03-28,132,493400,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,337157.14285714284,128.0,410200.0,410200.0,88800.0
KK Nagar ATM,2011-03-28,190,578100,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,372214.28571428574,132.0,493400.0,493400.0,332700.0
Christ College ATM,2011-03-28,72,263600,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,358400.0,190.0,578100.0,578100.0,360300.0
Big Street ATM,2011-03-29,30,108600,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,326328.5714285714,72.0,263600.0,263600.0,333100.0
Mount Road ATM,2011-03-29,191,538800,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,362414.28571428574,30.0,108600.0,108600.0,286200.0
Airport ATM,2011-03-29,117,523300,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,416571.4285714286,191.0,538800.0,538800.0,144200.0
KK Nagar ATM,2011-03-29,202,832200,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,476857.14285714284,117.0,523300.0,523300.0,410200.0
Christ College ATM,2011-03-29,80,298000,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,448942.85714285716,202.0,832200.0,832200.0,493400.0
Big Street ATM,2011-03-30,32,110200,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,382100.0,80.0,298000.0,298000.0,578100.0
Mount Road ATM,2011-03-30,152,475100,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,412314.28571428574,32.0,110200.0,110200.0,263600.0
Airport ATM,2011-03-30,136,627600,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,486457.14285714284,152.0,475100.0,475100.0,108600.0
KK Nagar ATM,2011-03-30,200,849400,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,530828.5714285715,136.0,627600.0,627600.0,538800.0
Christ College ATM,2011-03-30,100,399600,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,513157.14285714284,200.0,849400.0,849400.0,523300.0
Big Street ATM,2011-03-31,39,131800,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,413100.0,100.0,399600.0,399600.0,832200.0
Mount Road ATM,2011-03-31,159,456500,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,435742.85714285716,39.0,131800.0,131800.0,298000.0
Airport ATM,2011-03-31,127,629200,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,509885.71428571426,159.0,456500.0,456500.0,110200.0
KK Nagar ATM,2011-03-31,225,962300,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,579485.7142857143,127.0,629200.0,629200.0,475100.0
Christ College ATM,2011-03-31,96,514200,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,563285.7142857143,225.0,962300.0,962300.0,627600.0
Big Street ATM,2011-04-01,43,134700,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,461185.71428571426,96.0,514200.0,514200.0,849400.0
Mount Road ATM,2011-04-01,142,464800,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,470500.0,43.0,134700.0,134700.0,399600.0
Airport ATM,2011-04-01,96,480700,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,520342.85714285716,142.0,464800.0,464800.0,131800.0
KK Nagar ATM,2011-04-01,184,557300,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,534742.8571428572,96.0,480700.0,480700.0,456500.0
Christ College ATM,2011-04-01,75,336600,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,492942.85714285716,184.0,557300.0,557300.0,629200.0
Big Street ATM,2011-04-02,31,130500,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,374114.28571428574,75.0,336600.0,336600.0,962300.0
Mount Road ATM,2011-04-02,217,776400,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,411571.4285714286,31.0,130500.0,130500.0,514200.0
Airport ATM,2011-04-02,126,555800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,471728.5714285714,217.0,776400.0,776400.0,134700.0
KK Nagar ATM,2011-04-02,193,728200,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,509357.14285714284,126.0,555800.0,555800.0,464800.0
Christ College ATM,2011-04-02,71,285100,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,481414.28571428574,193.0,728200.0,728200.0,480700.0
Big Street ATM,2011-04-03,56,237800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,435771.4285714286,71.0,285100.0,285100.0,557300.0
Mount Road ATM,2011-04-03,162,445500,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,451328.5714285714,56.0,237800.0,237800.0,336600.0
Airport ATM,2011-04-03,122,580000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,515542.85714285716,162.0,445500.0,445500.0,130500.0
KK Nagar ATM,2011-04-03,155,571200,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,486228.5714285714,122.0,580000.0,580000.0,776400.0
Christ College ATM,2011-04-03,82,333000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,454400.0,155.0,571200.0,571200.0,555800.0
Big Street ATM,2011-04-04,20,101000,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,364800.0,82.0,333000.0,333000.0,728200.0
Mount Road ATM,2011-04-04,178,608500,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,411000.0,20.0,101000.0,101000.0,285100.0
Airport ATM,2011-04-04,70,412900,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,436014.28571428574,178.0,608500.0,608500.0,237800.0
KK Nagar ATM,2011-04-04,179,690500,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,471014.28571428574,70.0,412900.0,412900.0,445500.0
Christ College ATM,2011-04-04,71,295600,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,430385.71428571426,179.0,690500.0,690500.0,580000.0
Big Street ATM,2011-04-05,39,202300,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,377685.71428571426,71.0,295600.0,295600.0,571200.0
Mount Road ATM,2011-04-05,189,734200,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,435000.0,39.0,202300.0,202300.0,333000.0
Airport ATM,2011-04-05,93,406000,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,478571.4285714286,189.0,734200.0,734200.0,101000.0
KK Nagar ATM,2011-04-05,239,1013600,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,536442.8571428572,93.0,406000.0,406000.0,608500.0
Christ College ATM,2011-04-05,99,423500,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,537957.1428571428,239.0,1013600.0,1013600.0,412900.0
Big Street ATM,2011-04-06,33,115400,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,455800.0,99.0,423500.0,423500.0,690500.0
Mount Road ATM,2011-04-06,194,638500,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,504785.71428571426,33.0,115400.0,115400.0,295600.0
Airport ATM,2011-04-06,128,696000,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,575314.2857142857,194.0,638500.0,638500.0,202300.0
KK Nagar ATM,2011-04-06,245,1007100,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,614300.0,128.0,696000.0,696000.0,734200.0
Christ College ATM,2011-04-06,106,388700,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,611828.5714285715,245.0,1007100.0,1007100.0,406000.0
Big Street ATM,2011-04-07,23,109800,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,482714.28571428574,106.0,388700.0,388700.0,1013600.0
Mount Road ATM,2011-04-07,183,688000,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,520500.0,23.0,109800.0,109800.0,423500.0
Airport ATM,2011-04-07,125,637400,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,595071.4285714285,183.0,688000.0,688000.0,115400.0
KK Nagar ATM,2011-04-07,217,1028000,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,650714.2857142857,125.0,637400.0,637400.0,638500.0
Christ College ATM,2011-04-07,86,388600,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,606800.0,217.0,1028000.0,1028000.0,696000.0
Big Street ATM,2011-04-08,28,122500,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,480428.5714285714,86.0,388600.0,388600.0,1007100.0
Mount Road ATM,2011-04-08,193,774300,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,535514.2857142857,28.0,122500.0,122500.0,388700.0
Airport ATM,2011-04-08,49,209400,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,549742.8571428572,193.0,774300.0,774300.0,109800.0
KK Nagar ATM,2011-04-08,202,914800,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,582142.8571428572,49.0,209400.0,209400.0,688000.0
Christ College ATM,2011-04-08,95,373000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,544371.4285714285,202.0,914800.0,914800.0,637400.0
Big Street ATM,2011-04-09,42,155600,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,419742.85714285716,95.0,373000.0,373000.0,1028000.0
Mount Road ATM,2011-04-09,184,602200,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,450257.14285714284,42.0,155600.0,155600.0,388600.0
Airport ATM,2011-04-09,120,550300,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,511371.4285714286,184.0,602200.0,602200.0,122500.0
KK Nagar ATM,2011-04-09,232,759100,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,509200.0,120.0,550300.0,550300.0,774300.0
Christ College ATM,2011-04-09,91,483600,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,548371.4285714285,232.0,759100.0,759100.0,209400.0
Big Street ATM,2011-04-10,42,112700,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,433785.71428571426,91.0,483600.0,483600.0,914800.0
Mount Road ATM,2011-04-10,169,442300,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,443685.71428571426,42.0,112700.0,112700.0,373000.0
Airport ATM,2011-04-10,66,350200,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,471485.71428571426,169.0,442300.0,442300.0,155600.0
KK Nagar ATM,2011-04-10,143,370100,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,438328.5714285714,66.0,350200.0,350200.0,602200.0
Christ College ATM,2011-04-10,58,217800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,390828.5714285714,143.0,370100.0,370100.0,550300.0
Big Street ATM,2011-04-11,41,141300,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,302571.4285714286,58.0,217800.0,217800.0,759100.0
Mount Road ATM,2011-04-11,227,679100,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,330500.0,41.0,141300.0,141300.0,483600.0
